Locator2,CollectDate,Month,Depth,ParmName,Units,Value,Mdl
804,03-07-01,7,A,Alkalinity,mg CaCO3/L,39.5,0.2
804,01-10-01,10,A,Alkalinity,mg CaCO3/L,40.6,0.2
804,01-07-02,7,A,Alkalinity,mg CaCO3/L,41.9,0.2
804,06-01-03,1,A,Alkalinity,mg CaCO3/L,36.4,0.2
804,09-04-03,4,A,Alkalinity,mg CaCO3/L,39.2,0.2
804,07-07-03,7,A,Alkalinity,mg CaCO3/L,42.7,1
804,07-10-03,10,A,Alkalinity,mg CaCO3/L,41.3,1
807,01-04-81,4,A,Alkalinity,mg CaCO3/L,32,
807,15-04-81,4,A,Alkalinity,mg CaCO3/L,34,
807,27-04-81,4,A,Alkalinity,mg CaCO3/L,34,
807,12-05-81,5,A,Alkalinity,mg CaCO3/L,33,
807,02-06-81,6,A,Alkalinity,mg CaCO3/L,35,
807,17-06-81,6,A,Alkalinity,mg CaCO3/L,33,
807,30-06-81,6,A,Alkalinity,mg CaCO3/L,34,
807,15-07-81,7,A,Alkalinity,mg CaCO3/L,34,
807,28-07-81,7,A,Alkalinity,mg CaCO3/L,34,
807,12-08-81,8,A,Alkalinity,mg CaCO3/L,35,
807,25-08-81,8,A,Alkalinity,mg CaCO3/L,34,
807,09-09-81,9,A,Alkalinity,mg CaCO3/L,35,
807,23-09-81,9,A,Alkalinity,mg CaCO3/L,33,
807,13-10-81,10,A,Alkalinity,mg CaCO3/L,33,
807,27-10-81,10,A,Alkalinity,mg CaCO3/L,33,
807,12-11-81,11,A,Alkalinity,mg CaCO3/L,34,
807,23-11-81,11,A,Alkalinity,mg CaCO3/L,33,
807,08-12-81,12,A,Alkalinity,mg CaCO3/L,33,
807,06-01-82,1,A,Alkalinity,mg CaCO3/L,33,
807,08-02-82,2,A,Alkalinity,mg CaCO3/L,34,
807,16-02-82,2,A,Alkalinity,mg CaCO3/L,30,
807,02-03-82,3,A,Alkalinity,mg CaCO3/L,31,
807,15-03-82,3,A,Alkalinity,mg CaCO3/L,33,
807,29-04-82,4,A,Alkalinity,mg CaCO3/L,33,
807,11-05-82,5,A,Alkalinity,mg CaCO3/L,33,
807,24-05-82,5,A,Alkalinity,mg CaCO3/L,34,
807,07-06-82,6,A,Alkalinity,mg CaCO3/L,33,
807,28-06-82,6,A,Alkalinity,mg CaCO3/L,33,
807,13-07-82,7,A,Alkalinity,mg CaCO3/L,34,
807,26-07-82,7,A,Alkalinity,mg CaCO3/L,33,
807,09-08-82,8,A,Alkalinity,mg CaCO3/L,33,
807,23-08-82,8,A,Alkalinity,mg CaCO3/L,33,
807,07-09-82,9,A,Alkalinity,mg CaCO3/L,34,
807,27-09-82,9,A,Alkalinity,mg CaCO3/L,34,
807,11-10-82,10,A,Alkalinity,mg CaCO3/L,35,
807,27-10-82,10,A,Alkalinity,mg CaCO3/L,34,
807,09-11-82,11,A,Alkalinity,mg CaCO3/L,34,
807,22-11-82,11,A,Alkalinity,mg CaCO3/L,33,
807,07-12-82,12,A,Alkalinity,mg CaCO3/L,33,
807,20-12-82,12,A,Alkalinity,mg CaCO3/L,32,
807,17-01-83,1,A,Alkalinity,mg CaCO3/L,31,
807,08-02-83,2,A,Alkalinity,mg CaCO3/L,32,
807,22-02-83,2,A,Alkalinity,mg CaCO3/L,32,
807,07-03-83,3,A,Alkalinity,mg CaCO3/L,34,
